Component,Section,Field,English Text,Turkish Text,Translator Notes
Hero,Main Title,Title,"Weight Loss Through
Balance, Not Force","Kilo Verme
Denge ile, Zorla Değil",
Hero,Subtitle,Description,"A personalised weight loss wellness retreat with flexible start dates and program durations ranging from 4 days to extended stays.","Esnek başlangıç tarihleri ve 4 günden uzun konaklamalara kadar program süreleriyle kişiselleştirilmiş kilo verme wellness retreat'i.",
Hero,Quote,Italic Text,"Your journey begins when you're ready — and continues for as long as your body requires.","Yolculuğunuz hazır olduğunuzda başlar — ve vücudunuzun gerektirdiği sürece devam eder.",
Hero,Button,CTA,"Start Your Journey","Yolculuğunuza Başlayın",
Results,Section Title,Heading,"Real Change. Real Results.","Gerçek Değişim. Gerçek Sonuçlar.",
Results,Section Description,Subheading,"Measured in energy, clarity, fat loss, and sustainable change.","Enerji, netlik, yağ kaybı ve sürdürülebilir değişimle ölçülür.",
Results,Card 1,Title,"Quick","Hızlı",
Results,Card 1,Description,"See and feel results within days, not months. Our intensive programs kickstart your transformation immediately.","Aylar değil, günler içinde sonuçları görün ve hissedin. Yoğun programlarımız dönüşümünüzü hemen başlatır.",
Results,Card 1,Stat Label,"To visible results","Görünür sonuçlara",
Results,Card 2,Title,"Lasting","Kalıcı",
Results,Card 2,Description,"Sustainable weight loss and lifestyle changes that stick. Learn habits that support lifelong wellbeing.","Sürdürülebilir kilo kaybı ve yaşam tarzı değişiklikleri. Yaşam boyu sağlığı destekleyen alışkanlıklar öğrenin.",
Results,Card 2,Stat Label,"Maintain results 6+ months","6+ ay sonuçları koruma",
Results,Card 3,Title,"Impactful","Etkili",
Results,Card 3,Description,"Achieve significant weight loss results. Guests commonly lose substantial kilos through our medically-supervised programs.","Önemli kilo verme sonuçları elde edin. Misafirlerimiz tıbbi gözetimli programlarımız aracılığıyla önemli kilo kaybederler.",
Results,Card 3,Stat Label,"Average weight loss (14 days)","Ortalama kilo kaybı (14 gün)",
Results,Card 4,Title,"Lose from Fat & Toxins","Yağ ve Toksinlerden Kaybetme",
Results,Card 4,Description,"Target actual fat loss and reduced toxic load.","Gerçek yağ kaybını ve azaltılmış toksik yükü hedefleyin.",
Results,Card 4,Stat Label,"Fat loss vs water weight","Yağ kaybı vs su kaybı",
WhatsIncluded,Section Title,Heading,"What's Included in Your Retreat","Retreat'inizde Neler Dahil",
WhatsIncluded,Section Description,Subheading,"No add-ons, no hidden costs — every service below is included in your program.","Ek ücret yok, gizli maliyet yok — aşağıdaki her hizmet programınıza dahildir.",
WhatsIncluded,Category 1,Title,"Accommodation & Nutrition","Konaklama ve Beslenme",
WhatsIncluded,Category 1,Description,"A supportive retreat environment combined with personalised nourishment designed to restore balance.","Dengeyi geri kazandırmak için tasarlanmış kişiselleştirilmiş beslenme ile destekleyici bir retreat ortamı.",
WhatsIncluded,Category 1,Item 1,"Accommodation in our retreat resorts (double rooms)","Retreat resortlarımızda konaklama (çift kişilik odalar)",
WhatsIncluded,Category 1,Item 2,"Personalised nutrition plan including all meals and required supplements","Tüm yemekler ve gerekli takviyeleri içeren kişiselleştirilmiş beslenme planı",
WhatsIncluded,Category 1,Item 3,"Nutritional pathways may include Master Detox, Green Juice, Raw Food, Ketogenic, Water Fasting, or Intermittent Fasting","Beslenme yolları Master Detox, Yeşil Meyve Suyu, Çiğ Gıda, Ketojenik, Su Orucu veya Aralıklı Oruç içerebilir",
WhatsIncluded,Category 1,Item 4,"All nutrition is selected based on individual medical and wellness assessment","Tüm beslenme, bireysel tıbbi ve wellness değerlendirmesine göre seçilir",
WhatsIncluded,Category 2,Title,"Wellness Services and Mental Support for Weight Management","Wellness Hizmetleri ve Kilo Yönetimi için Zihinsel Destek",
WhatsIncluded,Category 2,Description,"Daily expert guidance and core wellness therapies that support sustainable change.","Sürdürülebilir değişimi destekleyen günlük uzman rehberliği ve temel wellness terapileri.",
WhatsIncluded,Category 2,Item 1,"Daily wellness coaching with dietitians and psychologists","Diyetisyenler ve psikologlarla günlük wellness koçluğu",
WhatsIncluded,Category 2,Item 2,"Coping with Emotional Eating Session (x2)","Duygusal Yeme ile Başa Çıkma Seansı (x2)",
WhatsIncluded,Category 2,Item 3,"Body composition analysis (2×)","Vücut kompozisyon analizi (2×)",
WhatsIncluded,Category 2,Item 4,"Infrared sauna and steam room access (daily)","Kızılötesi sauna ve buhar odası erişimi (günlük)",
WhatsIncluded,Category 2,Item 5,"Colon cleansing (self-administered, daily)","Kolon temizliği (kendi kendine uygulanan, günlük)",
WhatsIncluded,Category 2,Item 6,"Unlimited detox soup and herbal teas","Sınırsız detoks çorbası ve bitki çayları",
WhatsIncluded,Category 3,Title,"Bio-Hacking Technologies (Daily)","Bio-Hacking Teknolojileri (Günlük)",
WhatsIncluded,Category 3,Description,"Advanced technologies supporting detoxification, recovery, and metabolic efficiency.","Detoksifikasyon, iyileşme ve metabolik verimliliği destekleyen gelişmiş teknolojiler.",
WhatsIncluded,Category 3,Item 1,"Turbosonic vibration therapy","Turbosonic titreşim terapisi",
WhatsIncluded,Category 3,Item 2,"BioCharger energy therapy","BioCharger enerji terapisi",
WhatsIncluded,Category 3,Item 3,"BioPhoton therapy","BioPhoton terapisi",
WhatsIncluded,Category 3,Item 4,"Oxygen therapy","Oksijen terapisi",
WhatsIncluded,Category 3,Item 5,"Luminette light therapy","Luminette ışık terapisi",
WhatsIncluded,Category 3,Item 6,"Inversion table therapy","Ters masaj masası terapisi",
WhatsIncluded,Category 4,Title,"Medical Services","Tıbbi Hizmetler",
WhatsIncluded,Category 4,Description,"Continuous medical oversight ensuring safety, precision, and confidence throughout your stay.","Konaklamanız boyunca güvenlik, hassasiyet ve güven sağlayan sürekli tıbbi gözetim.",
WhatsIncluded,Category 4,Item 1,"Medical consultations (2×)","Tıbbi konsültasyonlar (2×)",
WhatsIncluded,Category 4,Item 2,"Fully equipped on-site medical clinic","Tam donanımlı yerinde tıbbi klinik",
WhatsIncluded,Category 4,Item 3,"Dedicated medical team of doctors and nurses","Doktor ve hemşirelerden oluşan özel tıbbi ekip",
WhatsIncluded,Category 4,Item 4,"Medical support available 24/7","7/24 mevcut tıbbi destek",
WhatsIncluded,Category 4,Item 5,"Partnered emergency hospital","Ortaklık yapılan acil hastane",
WhatsIncluded,Category 5,Title,"Cutting-Edge Metabolic Therapies","Son Teknoloji Metabolik Terapiler",
WhatsIncluded,Category 5,Description,"Targeted interventions designed to enhance fat metabolism and physical resilience.","Yağ metabolizmasını ve fiziksel dayanıklılığı artırmak için tasarlanmış hedefli müdahaleler.",
WhatsIncluded,Category 5,Item 1,"CAR.O.L bike sessions (2×)","CAR.O.L bisiklet seansları (2×)",
WhatsIncluded,Category 5,Item 2,"Robolex therapy (30 minutes × 2)","Robolex terapisi (30 dakika × 2)",
WhatsIncluded,Category 5,Item 3,"Cold plunge sessions (2×)","Soğuk su seansları (2×)",
WhatsIncluded,Category 5,Item 4,"Pressotherapy lymphatic drainage (1×)","Pressoterapi lenfatik drenaj (1×)",
WhatsIncluded,Category 5,Item 5,"Red light bed therapy or alternative metabolic therapy","Kırmızı ışık yatak terapisi veya alternatif metabolik terapi",
WhatsIncluded,Category 6,Title,"Daily Activities","Günlük Aktiviteler",
WhatsIncluded,Category 6,Description,"A structured rhythm of movement, education, and recovery to support long-term wellbeing.","Uzun vadeli sağlığı desteklemek için hareket, eğitim ve iyileşmenin yapılandırılmış ritmi.",
WhatsIncluded,Category 6,Item 1,"Sunrise walks","Gün doğumu yürüyüşleri",
WhatsIncluded,Category 6,Item 2,"Mobility and relaxation yoga","Mobilite ve rahatlama yogası",
WhatsIncluded,Category 6,Item 3,"Meditation sessions","Meditasyon seansları",
WhatsIncluded,Category 6,Item 4,"Functional training (3× per week)","Fonksiyonel antrenman (haftada 3×)",
WhatsIncluded,Category 6,Item 5,"Educational wellness talks","Eğitici wellness konuşmaları",
WhatsIncluded,Category 6,Item 6,"Evening relaxation activities","Akşam rahatlama aktiviteleri",
WhatsIncluded,Bottom Message,Text,"Accommodation is included — but what you're joining is far more than a stay. It's a fully guided, multi-layered program where every element is included and coordinated for you.","Konaklama dahildir — ancak katıldığınız şey bir konaklamadan çok daha fazlasıdır. Her öğenin dahil olduğu ve sizin için koordine edildiği, tamamen rehberli, çok katmanlı bir programdır.",
PricingInquiry,Program Title,Heading,"Weight Loss Program","Kilo Verme Programı",
PricingInquiry,Price Label,Starting From,"Starting from","Başlangıç fiyatı",
PricingInquiry,Price Note,Per Night,"per night, all inclusive","gecelik, her şey dahil",
PricingInquiry,Stay Info,Minimum Stay,"Minimum stay 4 days, recommended 7+ days","Minimum konaklama 4 gün, önerilen 7+ gün",
PricingInquiry,Description 1,Text,"Includes accommodation, personalised program design, meals, therapies, activities, and on-site support.","Konaklama, kişiselleştirilmiş program tasarımı, yemekler, terapiler, aktiviteler ve yerinde destek dahildir.",
PricingInquiry,Description 2,Text,"This fully inclusive offer reflects a medically informed, multi-layered program designed to support weight loss alongside whole-body health.","Bu tam kapsamlı teklif, kilo kaybını tüm vücut sağlığıyla birlikte desteklemek için tasarlanmış tıbbi bilgiye dayalı, çok katmanlı bir programı yansıtır.",
PricingInquiry,Note Label,Please Note,"Please note:","Lütfen dikkat:",
PricingInquiry,Note Text,Text,"The provided price is for our Bodrum retreat. Other centers may have lower or higher program pricing based on availability.","Belirtilen fiyat Bodrum retreat'imiz içindir. Diğer merkezler müsaitliğe göre daha düşük veya daha yüksek program fiyatlarına sahip olabilir.",
PricingInquiry,Longer Programs,Text,"Longer program durations and enhanced program depth are available following consultation.","Daha uzun program süreleri ve geliştirilmiş program derinliği danışmanlık sonrasında mevcuttur.",
PricingInquiry,Form Title,Heading,"Talk to an Expert","Bir Uzmanla Konuşun",
PricingInquiry,Form Description,Text,"Get personalised guidance from our experts.","Uzmanlarımızdan kişiselleştirilmiş rehberlik alın.",
PricingInquiry,Form Field,First Name,"First Name","Ad",
PricingInquiry,Form Field,Last Name,"Last Name","Soyad",
PricingInquiry,Form Field,Email,"Email Address","E-posta Adresi",
PricingInquiry,Form Field,Phone,"Phone Number (Optional)","Telefon Numarası (İsteğe Bağlı)",
PricingInquiry,Form Field,Phone Placeholder,"Phone number","Telefon numarası",
PricingInquiry,Form Field,Goals,"Tell us about your goals (Optional)","Hedefleriniz hakkında bize bilgi verin (İsteğe Bağlı)",
PricingInquiry,Form Field,Goals Placeholder,"Share any specific goals or questions...","Herhangi bir özel hedef veya sorunuzu paylaşın...",
PricingInquiry,Form Button,Submit,"Send Inquiry","Talebi Gönder",
PricingInquiry,Form Alternative,Call Text,"Or call us directly:","Veya bizi doğrudan arayın:",
WhyItMatters,Section Title,Heading,"Where Lasting Change Begins","Kalıcı Değişimin Başladığı Yer",
WhyItMatters,Section 1,Title,"For those who know it's time for a different approach.","Farklı bir yaklaşımın zamanı geldiğini bilenler için.",
WhyItMatters,Section 1,Text 1,"You wouldn't be here if this were just about losing weight.","Bu sadece kilo vermekle ilgili olsaydı burada olmazdınız.",
WhyItMatters,Section 1,Text 2,"You've tried controlling food. Pushing harder. Being disciplined. You understand detox, metabolism, balance. What's been missing isn't effort or knowledge.","Yemekleri kontrol etmeyi denediniz. Daha sıkı çalıştınız. Disiplinli oldunuz. Detoks, metabolizma, dengeyi anlıyorsunuz. Eksik olan çaba veya bilgi değil.",
WhyItMatters,Section 1,Text 3,"It's the right environment.","Doğru ortam.",
WhyItMatters,Section 1,Text 4,"The right guidance.","Doğru rehberlik.",
WhyItMatters,Section 1,Text 5,"The feeling that someone truly knows what your body needs — and is watching closely.","Birinin vücudunuzun neye ihtiyacı olduğunu gerçekten bildiği — ve yakından izlediği hissi.",
WhyItMatters,Section 1,Text 6,"That's where TheLifeCo begins.","İşte TheLifeCo burada başlar.",
WhyItMatters,Section 2,Title,"We Know the Pattern — and How to Break It","Kalıbı Biliyoruz — ve Nasıl Kıracağımızı",
WhyItMatters,Section 2,Text 1,"We've guided tens of thousands of people through this moment — the hesitation, the hope, the sense that this time needs to be different.","On binlerce insanı bu an boyunca yönlendirdik — tereddüt, umut, bu sefer farklı olması gerektiği hissi.",
WhyItMatters,Section 2,Text 2,"Our programs are shaped by that experience: medically informed, continuously observed, and adjusted as your body responds. You are never asked to push through uncertainty alone.","Programlarımız bu deneyimle şekillenir: tıbbi bilgiye dayalı, sürekli gözlemlenen ve vücudunuz yanıt verdiğinde ayarlanan. Belirsizlikten tek başınıza geçmeniz asla istenmez.",
WhyItMatters,Section 3,Title,"This Is Where You Let Go — Safely","Burada Bırakırsınız — Güvenle",
WhyItMatters,Section 3,Text 1,"Here, weight loss is not forced. It is allowed.","Burada, kilo kaybı zorlanmaz. İzin verilir.",
WhyItMatters,Section 3,Text 2,"Nourishment replaces restriction. Observation replaces guesswork. Balance replaces control. And in that space, change begins to happen — often more naturally than expected.","Beslenme kısıtlamanın yerini alır. Gözlem tahminin yerini alır. Denge kontrolün yerini alır. Ve o alanda, değişim başlamaya başlar — genellikle beklenenden daha doğal bir şekilde.",
WhyItMatters,Section 4,Title,"An Invitation","Bir Davet",
WhyItMatters,Section 4,Text 1,"Choosing TheLifeCo is a considered step — one that allows you to stop managing everything on your own.","TheLifeCo'yu seçmek, düşünülmüş bir adımdır — her şeyi kendi başınıza yönetmeyi bırakmanıza izin veren bir adım.",
WhyItMatters,Section 4,Text 2,"You are guided, supported, and observed throughout your stay, with every element adapted as your body responds.","Konaklamanız boyunca yönlendirilir, desteklenir ve gözlemlenirsiniz, vücudunuz yanıt verdiğinde her öğe uyarlanır.",
WhyItMatters,Section 4,Text 3,"You don't need another strategy.","Başka bir stratejiye ihtiyacınız yok.",
WhyItMatters,Section 4,Text 4,"You need a place where your body can finally respond.","Vücudunuzun nihayet yanıt verebileceği bir yere ihtiyacınız var.",
WhyItMatters,CTA Title,Heading,"Start Your Transformation","Dönüşümünüze Başlayın",
WhyItMatters,CTA Description,Text,"Join thousands who have transformed their lives through our personalised wellness programs","Kişiselleştirilmiş wellness programlarımız aracılığıyla hayatlarını dönüştüren binlere katılın",
WhyItMatters,CTA Input,Placeholder,"Enter your email","E-posta adresinizi girin",
WhyItMatters,CTA Button,Text,"Get Started","Başlayın",
WhyItMatters,CTA Footer,Text,"Flexible programs from 4 days to extended stays • Start when you're ready","4 günden uzun konaklamalara kadar esnek programlar • Hazır olduğunuzda başlayın",
ProgramJourney,Section Label,Label,"YOUR PROGRAM JOURNEY","PROGRAM YOLCULUĞUNUZ",
ProgramJourney,Section Title,Heading,"The Journey Explained","Yolculuk Açıklaması",
ProgramJourney,Section Description,Text,"From the moment you arrive to your departure, every phase of your stay is thoughtfully designed to support transformation.","Varışınızdan ayrılışınıza kadar, konaklamanızın her aşaması dönüşümü desteklemek için düşünceli bir şekilde tasarlanmıştır.",
ProgramJourney,Phase 1,Title,"Day 1 — Arrival & Assessment","1. Gün — Varış ve Değerlendirme",
ProgramJourney,Phase 1,Subtitle,"Setting the foundation","Temelin atılması",
ProgramJourney,Phase 1,Item 1,"Medical check-in and full health assessment","Tıbbi check-in ve tam sağlık değerlendirmesi",
ProgramJourney,Phase 1,Item 2,"Body composition analysis and live blood analysis","Vücut kompozisyon analizi ve canlı kan analizi",
ProgramJourney,Phase 1,Item 3,"Medical consultation and optional advanced diagnostics","Tıbbi konsültasyon ve isteğe bağlı gelişmiş tanılar",
ProgramJourney,Phase 1,Item 4,"Wellness coach consultation and program personalisation","Wellness koç konsültasyonu ve program kişiselleştirmesi",
ProgramJourney,Phase 1,Item 5,"Selection of nutrition plan, therapies, and treatments","Beslenme planı, terapiler ve tedavilerin seçimi",
ProgramJourney,Phase 1,Closing,"Your body is assessed, not assumed. Everything begins with precision.","Vücudunuz varsayılmaz, değerlendirilir. Her şey hassasiyetle başlar.",
ProgramJourney,Phase 2,Title,"Days 2–3 — Adaptation Phase","2-3. Günler — Uyum Aşaması",
ProgramJourney,Phase 2,Subtitle,"Allowing the body to adjust","Vücudun ayarlanmasına izin verme",
ProgramJourney,Phase 2,Item 1,"Gentle detoxification begins","Nazik detoksifikasyon başlar",
ProgramJourney,Phase 2,Item 2,"Nervous system regulation and stress reduction","Sinir sistemi düzenlemesi ve stres azaltma",
ProgramJourney,Phase 2,Item 3,"Initial metabolic adjustment","İlk metabolik ayarlama",
ProgramJourney,Phase 2,Item 4,"Light movement, breathwork, and restorative therapies","Hafif hareket, nefes çalışması ve onarıcı terapiler",
ProgramJourney,Phase 2,Item 5,"Close medical and wellness observation","Yakın tıbbi ve wellness gözlemi",
ProgramJourney,Phase 2,Closing,"This phase is about safety, support, and letting the body settle into a new rhythm.","Bu aşama güvenlik, destek ve vücudun yeni bir ritme yerleşmesiyle ilgilidir.",
ProgramJourney,Phase 3,Title,"Days 4–7 — Activation & Momentum","4-7. Günler — Aktivasyon ve Momentum",
ProgramJourney,Phase 3,Subtitle,"Where visible change often begins","Görünür değişimin genellikle başladığı yer",
ProgramJourney,Phase 3,Item 1,"Increased metabolic efficiency","Artırılmış metabolik verimlilik",
ProgramJourney,Phase 3,Item 2,"Enhanced fat utilisation","Geliştirilmiş yağ kullanımı",
ProgramJourney,Phase 3,Item 3,"Deeper detoxification response","Daha derin detoksifikasyon yanıtı",
ProgramJourney,Phase 3,Item 4,"Structured movement and biohacking therapies","Yapılandırılmış hareket ve biohacking terapileri",
ProgramJourney,Phase 3,Item 5,"Many guests begin to notice clearer energy and early weight changes","Birçok misafir daha net enerji ve erken kilo değişikliklerini fark etmeye başlar",
ProgramJourney,Phase 3,Closing,"For many, this is where motivation returns — naturally.","Birçokları için, motivasyonun geri döndüğü yer burasıdır — doğal olarak.",
ProgramJourney,Phase 4,Title,"Days 8–14+ — Transformation Phase","8-14+ Günler — Dönüşüm Aşaması",
ProgramJourney,Phase 4,Subtitle,"Strengthening results (for longer stays)","Sonuçları güçlendirme (daha uzun konaklamalar için)",
ProgramJourney,Phase 4,Item 1,"Continued fat loss support","Devam eden yağ kaybı desteği",
ProgramJourney,Phase 4,Item 2,"Stabilisation of blood sugar and appetite signals","Kan şekeri ve iştah sinyallerinin stabilizasyonu",
ProgramJourney,Phase 4,Item 3,"Mental clarity and emotional balance deepen","Zihinsel netlik ve duygusal denge derinleşir",
ProgramJourney,Phase 4,Item 4,"Body adapts to sustainable patterns rather than short-term fixes","Vücut kısa vadeli çözümler yerine sürdürülebilir kalıplara uyum sağlar",
ProgramJourney,Phase 4,Closing,"Weight loss becomes a response, not a struggle.","Kilo kaybı bir mücadele değil, bir yanıt haline gelir.",
ProgramJourney,Phase 5,Title,"Final Day — Integration & Preparation","Son Gün — Entegrasyon ve Hazırlık",
ProgramJourney,Phase 5,Subtitle,"Leaving with clarity, not questions","Sorularla değil, netlikle ayrılma",
ProgramJourney,Phase 5,Item 1,"Follow-up body composition and blood analysis","Takip vücut kompozisyonu ve kan analizi",
ProgramJourney,Phase 5,Item 2,"Medical and wellness check-out consultations","Tıbbi ve wellness check-out konsültasyonları",
ProgramJourney,Phase 5,Item 3,"Personalised guidance for life beyond the retreat","Retreat sonrası yaşam için kişiselleştirilmiş rehberlik",
ProgramJourney,Phase 5,Item 4,"Lifestyle Companion App registration","Yaşam Tarzı Arkadaşı Uygulaması kaydı",
ProgramJourney,Phase 5,Item 5,"Post-program support and follow-up options","Program sonrası destek ve takip seçenekleri",
ProgramJourney,Phase 5,Closing,"You leave with understanding — not just results.","Sadece sonuçlarla değil, anlayışla ayrılırsınız.",
